,k5,k6,k7,score,score_init
175,10.0,15.52631579,0.129736842,432,1138
176,10.0,15.52631579,0.150526316,386,1138
177,10.0,15.52631579,0.171315789,478,1138
178,10.0,15.52631579,0.192105263,420,1138
179,10.0,15.52631579,0.212894737,414,1138
180,10.0,15.52631579,0.233684211,492,1138
181,10.0,15.52631579,0.254473684,447,1138
182,10.0,15.52631579,0.275263158,446,1138
183,10.0,15.52631579,0.296052632,823,1138
184,10.0,15.52631579,0.316842105,855,1138
185,10.0,15.52631579,0.33763157899999996,981,1138
186,10.0,15.52631579,0.358421053,987,1138
187,10.0,15.52631579,0.379210526,1127,1138
188,10.0,15.52631579,0.4,1344,1138
189,10.0,16.84210526,0.005,4220,1138
190,10.0,16.84210526,0.025789474,434,1138
191,10.0,16.84210526,0.046578947,443,1138
192,10.0,16.84210526,0.067368421,466,1138
193,10.0,16.84210526,0.088157895,433,1138
194,10.0,16.84210526,0.108947368,423,1138
195,10.0,16.84210526,0.129736842,470,1138
196,10.0,16.84210526,0.150526316,489,1138
197,10.0,16.84210526,0.171315789,423,1138
198,10.0,16.84210526,0.192105263,401,1138
199,10.0,16.84210526,0.212894737,413,1138
200,10.0,16.84210526,0.233684211,391,1138
201,10.0,16.84210526,0.254473684,383,1138
202,10.0,16.84210526,0.275263158,420,1138
203,10.0,16.84210526,0.296052632,861,1138
204,10.0,16.84210526,0.316842105,851,1138
205,10.0,16.84210526,0.33763157899999996,1038,1138
206,10.0,16.84210526,0.358421053,1030,1138
207,10.0,16.84210526,0.379210526,1166,1138
208,10.0,16.84210526,0.4,1144,1138
209,10.0,18.15789474,0.005,4266,1138
210,10.0,18.15789474,0.025789474,426,1138
211,10.0,18.15789474,0.046578947,483,1138
212,10.0,18.15789474,0.067368421,510,1138
213,10.0,18.15789474,0.088157895,386,1138
214,10.0,18.15789474,0.108947368,448,1138
215,10.0,18.15789474,0.129736842,433,1138
216,10.0,18.15789474,0.150526316,465,1138
217,10.0,18.15789474,0.171315789,436,1138
218,10.0,18.15789474,0.192105263,426,1138
219,10.0,18.15789474,0.212894737,383,1138
220,10.0,18.15789474,0.233684211,390,1138
221,10.0,18.15789474,0.254473684,501,1138
222,10.0,18.15789474,0.275263158,493,1138
223,10.0,18.15789474,0.296052632,872,1138
224,10.0,18.15789474,0.316842105,912,1138
225,10.0,18.15789474,0.33763157899999996,1032,1138
226,10.0,18.15789474,0.358421053,1063,1138
227,10.0,18.15789474,0.379210526,1092,1138
228,10.0,18.15789474,0.4,1232,1138
229,10.0,19.0,0.070799745,478,1138
230,10.0,19.47368421,0.005,3997,1138
231,10.0,19.47368421,0.025789474,425,1138
232,10.0,19.47368421,0.046578947,424,1138
233,10.0,19.47368421,0.067368421,452,1138
234,10.0,19.47368421,0.088157895,439,1138
235,10.0,19.47368421,0.108947368,403,1138
236,10.0,19.47368421,0.129736842,390,1138
237,10.0,19.47368421,0.150526316,468,1138
238,10.0,19.47368421,0.171315789,424,1138
239,10.0,19.47368421,0.192105263,556,1138
240,10.0,19.47368421,0.212894737,449,1138
241,10.0,19.47368421,0.233684211,413,1138
242,10.0,19.47368421,0.254473684,427,1138
243,10.0,19.47368421,0.275263158,469,1138
244,10.0,19.47368421,0.296052632,776,1138
245,10.0,19.47368421,0.316842105,885,1138
246,10.0,19.47368421,0.33763157899999996,980,1138
247,10.0,19.47368421,0.358421053,1099,1138
248,10.0,19.47368421,0.379210526,1149,1138
249,10.0,19.47368421,0.4,1118,1138
250,10.0,20.78947368,0.005,4242,1138
251,10.0,20.78947368,0.025789474,428,1138
252,10.0,20.78947368,0.046578947,441,1138
253,10.0,20.78947368,0.067368421,454,1138
254,10.0,20.78947368,0.088157895,420,1138
255,10.0,20.78947368,0.108947368,429,1138
256,10.0,20.78947368,0.129736842,436,1138
257,10.0,20.78947368,0.150526316,417,1138
258,10.0,20.78947368,0.171315789,423,1138
259,10.0,20.78947368,0.192105263,510,1138
260,10.0,20.78947368,0.212894737,422,1138
261,10.0,20.78947368,0.233684211,454,1138
262,10.0,20.78947368,0.254473684,451,1138
263,10.0,20.78947368,0.275263158,432,1138
264,10.0,20.78947368,0.296052632,799,1138
265,10.0,20.78947368,0.316842105,818,1138
266,10.0,20.78947368,0.33763157899999996,957,1138
267,10.0,20.78947368,0.358421053,1097,1138
268,10.0,20.78947368,0.379210526,1066,1138
269,10.0,20.78947368,0.4,1197,1138
270,10.0,21.0,0.063760942,429,1138
271,10.0,21.0,0.07396252,407,1138
272,10.0,22.10526316,0.005,4142,1138
273,10.0,22.10526316,0.025789474,430,1138
274,10.0,22.10526316,0.046578947,326,1138
275,10.0,22.10526316,0.067368421,395,1138
276,10.0,22.10526316,0.088157895,463,1138
277,10.0,22.10526316,0.108947368,433,1138
278,10.0,22.10526316,0.129736842,381,1138
279,10.0,22.10526316,0.150526316,418,1138
280,10.0,22.10526316,0.171315789,478,1138
281,10.0,22.10526316,0.192105263,479,1138
282,10.0,22.10526316,0.212894737,460,1138
283,10.0,22.10526316,0.233684211,474,1138
284,10.0,22.10526316,0.254473684,398,1138
285,10.0,22.10526316,0.275263158,461,1138
286,10.0,22.10526316,0.296052632,755,1138
287,10.0,22.10526316,0.316842105,935,1138
288,10.0,22.10526316,0.33763157899999996,997,1138
289,10.0,22.10526316,0.358421053,1129,1138
290,10.0,22.10526316,0.379210526,1226,1138
291,10.0,22.10526316,0.4,1309,1138
292,10.0,23.42105263,0.005,4172,1138
293,10.0,23.42105263,0.025789474,504,1138
294,10.0,23.42105263,0.046578947,394,1138
295,10.0,23.42105263,0.067368421,402,1138
296,10.0,23.42105263,0.088157895,438,1138
297,10.0,23.42105263,0.108947368,412,1138
298,10.0,23.42105263,0.129736842,416,1138
299,10.0,23.42105263,0.150526316,482,1138
300,10.0,23.42105263,0.171315789,440,1138
301,10.0,23.42105263,0.192105263,430,1138
302,10.0,23.42105263,0.212894737,421,1138
303,10.0,23.42105263,0.233684211,434,1138
304,10.0,23.42105263,0.254473684,445,1138
305,10.0,23.42105263,0.275263158,367,1138
306,10.0,23.42105263,0.296052632,810,1138
307,10.0,23.42105263,0.316842105,951,1138
308,10.0,23.42105263,0.33763157899999996,938,1138
309,10.0,23.42105263,0.358421053,1021,1138
310,10.0,23.42105263,0.379210526,1185,1138
311,10.0,23.42105263,0.4,1141,1138
312,10.0,24.0,0.070799745,403,1138
313,10.0,24.73684211,0.005,4082,1138
314,10.0,24.73684211,0.025789474,480,1138
315,10.0,24.73684211,0.046578947,423,1138
316,10.0,24.73684211,0.067368421,360,1138
317,10.0,24.73684211,0.088157895,469,1138
318,10.0,24.73684211,0.108947368,440,1138
319,10.0,24.73684211,0.129736842,444,1138
320,10.0,24.73684211,0.150526316,467,1138
321,10.0,24.73684211,0.171315789,503,1138
322,10.0,24.73684211,0.192105263,429,1138
323,10.0,24.73684211,0.212894737,398,1138
324,10.0,24.73684211,0.233684211,433,1138
325,10.0,24.73684211,0.254473684,399,1138
326,10.0,24.73684211,0.275263158,369,1138
327,10.0,24.73684211,0.296052632,822,1138
328,10.0,24.73684211,0.316842105,974,1138
329,10.0,24.73684211,0.33763157899999996,942,1138
330,10.0,24.73684211,0.358421053,1096,1138
331,10.0,24.73684211,0.379210526,1091,1138
332,10.0,24.73684211,0.4,1098,1138
333,10.0,26.0,0.33001405300000003,975,1138
334,10.0,26.05263158,0.005,3941,1138
335,10.0,26.05263158,0.025789474,426,1138
336,10.0,26.05263158,0.046578947,454,1138
337,10.0,26.05263158,0.067368421,444,1138
338,10.0,26.05263158,0.088157895,481,1138
339,10.0,26.05263158,0.108947368,441,1138
340,10.0,26.05263158,0.129736842,447,1138
341,10.0,26.05263158,0.150526316,484,1138
342,10.0,26.05263158,0.171315789,475,1138
