	time	total_volume	cell_type	cycle_model	current_phase	elapsed_time_in_phase	nuclear_volume	cytoplasmic_volume	fluid_fraction	calcified_fraction	x_orientation	x_orientation	y_orientation	x_orientation	x_orientation	polarity	migration_speed	x_motility_vector	x_motility_vector	y_motility_vector	x_motility_vector	x_motility_vector	migration_bias	x_motility_bias_direction	x_motility_bias_direction	y_motility_bias_direction	x_motility_bias_direction	x_motility_bias_direction	persistence_time	motility_reserved	next_physiboss_run	TNFR_binding_rate	TNFR_endocytosis_rate	TNFR_recycling_rate	TNFR_activation_threshold	TNFR_receptors_per_cell	TFN_net_production_rate	tnf_node	fadd_node	nfkb_node	external_tnf	unbound_external_TNFR	bound_external_TNFR	bound_internal_TNFR
10	300	2045.8605292093935	0.0	5.0	14.0	233.88476443705966	449.6675112783585	1596.1930179310364	0.734412834369823	0.0	0.00982460243222536	-0.004855630335851277	0.0016717850282493918	0.00982460243222536	-0.004855630335851277	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	303.686071616422	0.22125521285197622	0.16926048298940533	0.5406630559214671	0.5	1.0	0.0	0.0	0.2675544794188862	0.021791767554479417	0.0	0.897134043691497	0.07746592874104118	0.02540002756746072
11	330	2063.9424413187994	0.0	5.0	14.0	256.91743907184247	454.0216399810066	1609.9208013377947	0.7346939024929178	0.0	0.006473420822553226	-0.008013986423611641	-2.405722384620719e-06	0.006473420822553226	-0.008013986423611641	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	333.6364131870155	0.2212552128519763	0.16926048298940544	0.5406630559214672	0.5	1.0	0.0	0.37964071856287424	0.26586826347305387	0.003592814371257485	0.0	0.34141378933021477	0.5028107969883228	0.1557754136814619
12	360	2034.912809422695	0.0	5.0	14.0	267.2674549223963	448.0845240914215	1586.8282853312767	0.7344648089589566	0.0	0.012321073556274187	-1.3173053258927739e-05	-0.004677216314243303	0.012321073556274187	-1.3173053258927739e-05	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	363.81697802460485	0.22125521285197636	0.16926048298940546	0.5406630559214672	0.5	1.0	0.0	0.11336515513126491	0.2577565632458234	0.11933174224343675	0.0	0.44697016560396124	0.41921386430652985	0.1338159700895075
13	390	2009.4451659381389	0.0	5.0	14.0	277.8126481137461	443.39082620221495	1566.0543397359218	0.7332061546790039	0.0	0.015369909894572632	-0.022395566740618718	-0.020964040086176087	0.015369909894572632	-0.022395566740618718	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	393.7942424301724	0.22125521285197566	0.16926048298940477	0.540663055921467	0.5	1.0	0.0	0.0	0.24936061381074168	0.16751918158567775	0.0	0.6340340243394613	0.27664975955632526	0.08931621610421339
14	420	1954.2439414169332	0.0	5.0	14.0	276.5999155591256	431.9312738354918	1522.312667581438	0.7322846121061103	0.0	0.01770787897840203	-0.022759846955121153	-0.03311172728646342	0.01770787897840203	-0.022759846955121153	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	423.9874075853229	0.22125521285197536	0.16926048298940446	0.5406630559214669	0.5	1.0	0.0	0.0	0.22894736842105262	0.07631578947368421	0.0	0.796966620164392	0.1530405028794308	0.04999287695617719
15	450	1956.8195462295757	0.0	5.0	14.0	292.2765602671674	432.86603453478307	1523.9535116947961	0.7314888248749019	0.0	0.010434304618352623	-0.01802399454971064	-0.040678754503314866	0.010434304618352623	-0.01802399454971064	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	453.9760495439959	0.22125521285197547	0.16926048298940458	0.5406630559214669	0.5	1.0	0.0	0.0	0.22164276401564537	0.018252933507170794	0.0	0.8996483090896499	0.07556833075952354	0.02478336015082549
16	480	1942.9104714369964	0.0	5.0	14.0	301.0108207168777	430.13148023988435	1512.7789911971104	0.7307686178993636	0.0	0.02031436353444735	-0.024845303864771417	-0.0370737980347674	0.02031436353444735	-0.024845303864771417	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	483.92834662901873	0.22125521285197575	0.16926048298940485	0.540663055921467	0.5	1.0	0.0	0.3413705583756345	0.21954314720812182	0.005076142131979695	0.0	0.35841283165832716	0.48993728320020674	0.15164988514146574
17	510	1916.4007302249204	0.0	5.0	14.0	303.62463946660563	424.67866523314245	1491.722064991777	0.7300038626670248	0.0	0.014113707779705177	-0.018949405369646802	-0.03136269874028919	0.014113707779705177	-0.018949405369646802	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	513.7969185464067	0.22125521285197586	0.16926048298940496	0.540663055921467	0.5	1.0	0.0	0.08406524466750313	0.2233375156838143	0.10037641154328733	0.0	0.46263829544379426	0.40728989823019357	0.13007180632601137
18	540	1901.5944146084412	0.0	5.0	14.0	308.28538209111804	422.1893980823213	1479.4050165261215	0.7284266097536191	0.0	0.0069984571401733075	-0.014758533683328887	-0.034507333913291874	0.0069984571401733075	-0.014758533683328887	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	543.5638370800079	0.22125521285197497	0.16926048298940452	0.5406630559214668	0.5	1.0	0.0	0.0	0.20572207084468666	0.16621253405994552	0.0	0.6451257611190832	0.2682423749142507	0.08663186396666632
19	570	1904.8140846838517	0.0	5.0	14.0	316.7309444900437	423.2806557011771	1481.5334289826699	0.7286162394340742	0.0	0.013453782186704588	-0.017110796035241398	-0.04314457966280934	0.013453782186704588	-0.017110796035241398	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	573.8667447080869	0.2212552128519747	0.1692604829894046	0.5406630559214667	0.5	1.0	0.0	0.0	0.19692737430167598	0.0712290502793296	0.0	0.8002616085832975	0.15062476273286948	0.049113628683832546
